split,model,n,spearman,fold_mean,fold_sd,auroc,within_pos,top10_enrich,ci_lo,ci_hi,delta_lo,delta_hi,delta_mean,ref
block,blosum,8117,0.1122921395206152,0.1135733470807536,0.0565753492545986,0.5534610794380717,0.0979017134946703,1.097410604192355,0.0915862643352164,0.1333980589422071,-0.0382925936181009,0.0032647471571189,-0.0160591216756645,M1_sub
block,local_mean,8117,0.0846887516293205,0.0212027073005795,0.044757191545817,0.5441601520500172,0.0,1.2946979038224415,0.0611085958663155,0.1078259229970172,-0.0747340658000382,-0.0114997428953268,-0.0450333928805771,M1_sub
block,mutaa_mean,8117,0.0135138329710234,0.0463819916868609,0.0277658753486513,0.5029151702870585,0.0192892213751225,0.9741060419235512,-0.006350081325449,0.0345250889977617,-0.1357781993702596,-0.0933510523335451,-0.1151366527918618,M1_sub
block,A2_reach,8117,0.0321095101277457,0.0851464122207803,0.0230591767834061,0.5124588818136043,0.0842312925880718,0.8631319358816276,0.012013559480087,0.0551919986799751,-0.1216830180789001,-0.0731088626409462,-0.095734078732331,M1_sub
block,A1_artifact,8117,0.1306293768938111,0.1530787848886772,0.0456445113129146,0.5602479858751721,0.1362530415948134,0.8261405672009864,0.109765252591463,0.153077180513399,-0.0076705576554539,0.0123048823700518,0.0026603439707515,M1_sub
block,M1_props,8117,0.1294447868314177,0.1521672221973087,0.0605952502563594,0.5611485152890867,0.1307204256519296,0.8261405672009864,0.1076618781425833,0.1524543147443536,-0.0029628216618172,0.0054159074006076,0.0009382479086393,M1_sub
block,M1_sub,8117,0.1284811527503361,0.149630184044713,0.060651049871484,0.5602527213497414,0.1390214302087537,0.8384710234278667,0.1062705774483996,0.1512783352635125,,,,M1_sub
block,M2_sub_ctx,8117,0.067561427605347,0.097514281862314,0.0498410469463745,0.532198920044669,0.1086850466660057,1.0850801479654746,0.0446855153316641,0.0924521876148077,-0.0833547983059651,-0.0411998059850282,-0.06124655783674,M1_sub
block,M2_shufctx,8117,0.1007260322249524,0.1142790411169492,0.0591798230836097,0.5424586292549605,0.1030096804949345,1.0727496917385944,0.0747251924065724,0.1273056062897008,-0.0481426015039313,-0.0071239712777815,-0.0274882585454,M1_sub
block,site_only,8117,-0.0109071640186661,0.0248220078485032,0.0373609785722649,0.4950278124135245,0.0,1.035758323057953,-0.0365885365931368,0.0137052051836054,-0.169969719034689,-0.1123771088268389,-0.1398461670692717,M1_sub
