split,model,n,spearman,fold_mean,fold_sd,auroc,within_pos,top10_enrich,ci_lo,ci_hi,delta_lo,delta_hi,delta_mean,ref
block,blosum,8117,0.11229213952061523,0.11357334708075369,0.05657534925459864,0.5534610794380717,0.09790171349467033,1.097410604192355,0.09158626433521645,0.13339805894220713,-0.03829259361810091,0.0032647471571189335,-0.016059121675664548,M1_sub
block,local_mean,8117,0.08468875162932055,0.021202707300579555,0.04475719154581707,0.5441601520500172,0.0,1.2946979038224415,0.0611085958663155,0.10782592299701724,-0.0747340658000382,-0.011499742895326867,-0.04503339288057711,M1_sub
block,mutaa_mean,8117,0.013513832971023475,0.04638199168686099,0.02776587534865138,0.5029151702870585,0.019289221375122578,0.9741060419235511,-0.006350081325449071,0.03452508899776177,-0.13577819937025962,-0.09335105233354511,-0.11513665279186185,M1_sub
block,A2_reach,8117,0.03210951012774578,0.08514641222078032,0.023059176783406195,0.5124588818136043,0.08423129258807183,0.8631319358816276,0.012013559480087045,0.05519199867997517,-0.12168301807890013,-0.07310886264094626,-0.09573407873233108,M1_sub
block,A1_artifact,8117,0.13062937689381118,0.15307878488867724,0.04564451131291469,0.5602479858751721,0.1362530415948134,0.8261405672009864,0.10976525259146304,0.15307718051339905,-0.00767055765545394,0.012304882370051874,0.0026603439707515203,M1_sub
block,M1_props,8117,0.12944478683141775,0.15216722219730877,0.06059525025635946,0.5611485152890867,0.13072042565192965,0.8261405672009864,0.10766187814258334,0.15245431474435361,-0.0029628216618172326,0.005415907400607691,0.0009382479086393281,M1_sub
block,M1_sub,8117,0.12848115275033614,0.149630184044713,0.06065104987148405,0.5602527213497414,0.13902143020875374,0.8384710234278667,0.1062705774483996,0.1512783352635125,,,,M1_sub
block,M2_sub_ctx,8117,0.06756142760534707,0.09751428186231409,0.04984104694637455,0.532198920044669,0.10868504666600577,1.0850801479654746,0.044685515331664136,0.0924521876148077,-0.08335479830596519,-0.04119980598502824,-0.06124655783674006,M1_sub
block,M2_shufctx,8117,0.10072603222495242,0.1142790411169492,0.05917982308360976,0.5424586292549605,0.10300968049493459,1.0727496917385944,0.07472519240657245,0.12730560628970086,-0.04814260150393135,-0.007123971277781517,-0.02748825854540004,M1_sub
block,site_only,8117,-0.010907164018666128,0.024822007848503212,0.03736097857226491,0.4950278124135245,0.0,1.035758323057953,-0.03658853659313682,0.013705205183605474,-0.169969719034689,-0.11237710882683892,-0.13984616706927175,M1_sub
block,site_ridge,8117,0.061527598960830716,0.06940806738186753,0.04935769491777624,0.5292097427896632,0.0,1.2330456226880393,0.03260093912653566,0.08828917842879211,-0.09451561344169518,-0.0414075896677032,-0.06781214773077177,M1_sub
block,E_twostage,8117,0.11834381114880663,0.1385143579492571,0.06147652456374276,0.5559217959445153,0.12285906002076295,0.9001233045622687,0.0946868009602853,0.14090771409394534,-0.020488015683205383,0.0006203557922586954,-0.009944427452115904,M1_sub
block,E_ridge,8117,0.12146642945729624,0.14234648574403097,0.055939554224256935,0.5576038304403834,0.12270620845254704,0.9864364981504316,0.09640291565040622,0.14450609444365492,-0.018853898409716734,0.005342576654877064,-0.007325396619039329,M1_sub
block,E_nowindow,8117,0.1182126376394383,0.1422306769975071,0.06259897930229162,0.5545852386029573,0.1318082045885744,0.8261405672009864,0.09543400537170288,0.14149074536228765,-0.018543233806377464,-0.0023664314347047826,-0.010205457871642645,M1_sub
block,E_shufctx,8117,0.1185627093973666,0.13616239201020364,0.06618796319542268,0.5563593112968632,0.12138854971577104,0.8877928483353883,0.0965323542982385,0.14087712453167112,-0.02032580516806192,-0.000577833720715001,-0.010006344536534066,M1_sub
block,M2_shuffleY,8117,-0.03672383188205135,-0.011321623728193972,0.03920513841718637,0.4776225149231195,3.570395495816635e-05,0.9864364981504316,-0.06344823552110108,-0.008666264344854279,-0.19958665630015485,-0.1333545937883061,-0.16513206559811797,M1_sub
block,E_shuffleY,8117,-0.01911902871202788,0.01236837533352822,0.030486564078348863,0.4911879192943997,-0.009703441246782142,1.035758323057953,-0.04171994022938002,0.002287649499297893,-0.1784337454960423,-0.117266869997685,-0.14828814534362725,M1_sub
