split,model,n,spearman,fold_mean,fold_sd,auroc,within_pos,top10_enrich,ci_lo,ci_hi,delta_lo,delta_hi,delta_mean,ref
domain,blosum,8117,0.11229213952061523,0.11968258218440483,0.049335062315886385,0.5534610794380717,0.09790171349467033,1.097410604192355,0.09158626433521645,0.13339805894220713,-0.0036681285262583135,0.0392404200286707,0.01805890656526736,M1_sub
domain,local_mean,8117,-0.038031512048959756,0.01975636766608175,0.031131454751014576,0.4829328943184141,0.0,0.5918618988902589,-0.06314493410930577,-0.01141642492894858,-0.1649542510848858,-0.10194798073982077,-0.13356923314541058,M1_sub
domain,A1_artifact,8117,0.08462536437344818,0.15426995415233613,0.028444309441090297,0.5384698722429673,0.13222543198821388,0.9001233045622687,0.0646169219531424,0.10712563591867533,-0.019713914669560028,0.001970226186838267,-0.00900078018413122,M1_sub
domain,M1_sub,8117,0.09396721924414772,0.15643883799377853,0.044728711482765075,0.5437479229176448,0.1284537624121293,0.813810110974106,0.07210294002350648,0.1169879551572485,,,,M1_sub
domain,M2_sub_ctx,8117,0.048703303466500814,0.0995823678269652,0.02917423311266548,0.5229643500117962,0.11470656130910581,1.097410604192355,0.0266646674294538,0.0753766476913712,-0.06896060641323945,-0.022630757313462598,-0.045563807664616304,M1_sub
domain,site_only,8117,-0.01593932943632005,0.046863975033166194,0.017193902081370272,0.49321631125715804,0.0,0.9617755856966707,-0.04143047087534149,0.009463123739914854,-0.14044818195895534,-0.07953223361263324,-0.1108889055088441,M1_sub
domain,site_ridge,8117,0.03576619074114994,0.05807640215462895,0.025953798653440576,0.5169004837590828,0.0,1.3316892725030827,0.006506226501544787,0.06168754454350578,-0.08631002552484605,-0.033466810826283916,-0.05973425300540356,M1_sub
domain,E_twostage,8117,0.07410264661109531,0.13593245882323762,0.040845825812927214,0.5344518220709784,0.11399334247491327,0.8384710234278667,0.051972865924850634,0.09828732757343506,-0.029092874310899193,-0.010749446616252477,-0.019810263970717078,M1_sub
domain,E_ridge,8117,0.09034437317208412,0.14564122891427136,0.03994675800079007,0.543164032832138,0.10909049307558984,0.9247842170160295,0.06875289006948351,0.1138112586245067,-0.015651606726930403,0.00946188149199599,-0.003854960988887326,M1_sub
domain,E_shufctx,8117,0.07471129071440426,0.13771659383343426,0.04675315993133755,0.5359028200479594,0.1092013777972506,0.8384710234278667,0.05211008335189123,0.09867011218033193,-0.029461731849365024,-0.01037739280989718,-0.019945374046491673,M1_sub
